agent,partite,vittorie,winrate,elo
LG,1,0,0.0,991
Leo Jeel,1,0,0.0,991
Light_uts,1,0,0.0,991
Louis-Philippe Thibault,1,0,0.0,991
MD. Nazmus Sakib Anik,1,0,0.0,991
MaggyoWIMPS,1,0,0.0,991
Mai Kevin,1,0,0.0,991
Malyshev Danil,1,0,0.0,991
Matsumoto Takeru,1,0,0.0,991
MeWe,1,0,0.0,991
Miao,1,0,0.0,991
Minchul Shin,1,0,0.0,991
MooDerEchte,1,0,0.0,991
MoriBob,1,0,0.0,991
Muhammad Junaid #2,1,0,0.0,991
Mykhailo Kalus,1,0,0.0,991
NAKANISHI Yoshiaki,1,0,0.0,991
Narumi Miyazawa,1,0,0.0,991
Natalia Jaśkowska,1,0,0.0,991
Natyu,1,0,0.0,991
Needleham,1,0,0.0,991
Nimesh Lokhande,1,0,0.0,991
Pablo,1,0,0.0,991
Pachirisu,1,0,0.0,991
Parker Morgan,1,0,0.0,991
PavelLiashkov,1,0,0.0,991
PhiRogue,1,0,0.0,991
Pocket Arena,1,0,0.0,991
Quentin Barbarat,1,0,0.0,991
Retlinac,1,0,0.0,991
Rian,1,0,0.0,991
Roo333,1,0,0.0,991
Ryosei T,1,0,0.0,991
RyotaNakanishi,1,0,0.0,991
SUN,1,0,0.0,991
Samus,1,0,0.0,991
Senn88,1,0,0.0,991
Stepan Pankratov,1,0,0.0,991
Sumant V J,1,0,0.0,991
TCre15,1,0,0.0,991
Takahiro Matsumoto,1,0,0.0,991
Takeshi&maria,1,0,0.0,991
Teppei Yamamoto,1,0,0.0,991
Testuo&Ryuji,1,0,0.0,991
The Debauchery Tea Party,1,0,0.0,991
V1enna0808,1,0,0.0,991
Vishesh Banna,1,0,0.0,991
XIAODOUZI,1,0,0.0,991
YDDDDDD999,1,0,0.0,991
Yan Enrique,1,0,0.0,991
Yasuharu Hirado,1,0,0.0,991
Yehun Jeon,1,0,0.0,991
Yuichi SUZUKI,1,0,0.0,991
Yunioshi,1,0,0.0,991
Yuto Umehara,1,0,0.0,991
ZAOUI_Yassine,1,0,0.0,991
ZZZ gang ML clan team muxomor,1,0,0.0,991
Zhongyuan Zhang,1,0,0.0,991
[Deleted] 6b0fd188-7934-48ef-9477-b2651411d504,1,0,0.0,991
alexesn,1,0,0.0,991
carlos marquez,1,0,0.0,991
cgaines,1,0,0.0,991
ei8171,1,0,0.0,991
henrytb,1,0,0.0,991
hiroto fujimori,1,0,0.0,991
itofuki,1,0,0.0,991
kajitake,1,0,0.0,991
kamonabe,1,0,0.0,991
keibrown,1,0,0.0,991
kfnsosz1,1,0,0.0,991
kisamaki0815,1,0,0.0,991
koiwashi,1,0,0.0,991
masahiro katayama,1,0,0.0,991
mgoto51004,1,0,0.0,991
mhiro2,1,0,0.0,991
nanocloudx,1,0,0.0,991
nao_370,1,0,0.0,991
nicolas maine,1,0,0.0,991
nk35jk,1,0,0.0,991
nnnnio_pppira,1,0,0.0,991
saladoil,1,0,0.0,991
sbite0138,1,0,0.0,991
sukeke,1,0,0.0,991
takanori-suzuki-desu,1,0,0.0,991
tk,1,0,0.0,991
tony998244353,1,0,0.0,991
torusuke,1,0,0.0,991
washidesu,1,0,0.0,991
ymdkk,1,0,0.0,991
あーとらぼ,1,0,0.0,991
おべんとう,1,0,0.0,991
かーーき,1,0,0.0,991
さやのーず,1,0,0.0,991
すりーぴんぐ,1,0,0.0,991
のはたく,1,0,0.0,991
みちみちすたーきんぴか,1,0,0.0,991
サングラスクマ,1,0,0.0,991
宮原景信,1,0,0.0,991
成木,1,0,0.0,991
樹神,1,0,0.0,991
秋田優斗,1,0,0.0,991
難波彰史,1,0,0.0,991
둔갑숨기,1,0,0.0,991
ToastUz,11,4,0.36363636363636365,990
presucc,4,1,0.25,990
AL Najafi,1,0,0.0,990
Adastra,1,0,0.0,990
Agustín Arellano,1,0,0.0,990
Alex,1,0,0.0,990
Allgea,1,0,0.0,990
Andrew Kuo,1,0,0.0,990
Anthony Toffetti,1,0,0.0,990
Ardell Aghna Mahendra,1,0,0.0,990
Aurora wy,1,0,0.0,990
BlurreA,1,0,0.0,990
CardPilotLab,1,0,0.0,990
Charismatic Pizza Party🍕,1,0,0.0,990
Clawdia Sakamoto,1,0,0.0,990
CourtB559,1,0,0.0,990
Deeptanush Kapaka,1,0,0.0,990
Dilyorbek Muhammadjonov,1,0,0.0,990
EPHEMORIA,1,0,0.0,990
EricYang03,1,0,0.0,990
Francesco Sardo,1,0,0.0,990
GOTCHA,1,0,0.0,990
GaveduAi,1,0,0.0,990
Golden Banana,1,0,0.0,990
HanaMew,1,0,0.0,990
Haruki Miura,1,0,0.0,990
Hayhay2323,1,0,0.0,990
Hiryu,1,0,0.0,990
Horikita Saku,1,0,0.0,990
Ivan Kalesnik,1,0,0.0,990
Kaikaku,1,0,0.0,990
KentoHako,1,0,0.0,990
Kento_1938,1,0,0.0,990
Kouhei　Sakamoto,1,0,0.0,990
Laerti Shabani,1,0,0.0,990
Liesvy Valladares,1,0,0.0,990
Longzhou Zhang,1,0,0.0,990
Martin Balla,1,0,0.0,990
Mearyl,1,0,0.0,990
Mewrone-X,1,0,0.0,990
Mystique　Kobayashi,1,0,0.0,990
N.Saito,1,0,0.0,990
NaoKato,1,0,0.0,990
NecromanAlbert,1,0,0.0,990
NiniSan,1,0,0.0,990
Nora,1,0,0.0,990
Piiikapika,1,0,0.0,990
Pokemon Garı Gacıyo,1,0,0.0,990
Prashant Kikani,1,0,0.0,990
Ryoma Terazawa,1,0,0.0,990
Seine A. Shintani,1,0,0.0,990
Shih Hua Chou,1,0,0.0,990
Shiyuanhe123,1,0,0.0,990
Shun,1,0,0.0,990
Shun.K.Kobayashi,1,0,0.0,990
TGMATH,1,0,0.0,990
TakazawaMasato,1,0,0.0,990
Team picoea4rll,1,0,0.0,990
TeamRocket,1,0,0.0,990
Timothy Bender (TBenderMMA),1,0,0.0,990
TomTom,1,0,0.0,990
Trii,1,0,0.0,990
Vishys,1,0,0.0,990
Woong,1,0,0.0,990
Yotsuba_4848,1,0,0.0,990
Zefirrr,1,0,0.0,990
abidencewww,1,0,0.0,990
alonso bardales,1,0,0.0,990
amamori-041226,1,0,0.0,990
asarinoyado,1,0,0.0,990
atsu33,1,0,0.0,990
baokin.hcmus,1,0,0.0,990
brave-心勇-heart,1,0,0.0,990
currentbranch,1,0,0.0,990
f,1,0,0.0,990
fksmaaaaa,1,0,0.0,990
green gum,1,0,0.0,990
ihatebaselines.com,1,0,0.0,990
illness fubuki,1,0,0.0,990
jam yann,1,0,0.0,990
jorge fabian avila,1,0,0.0,990
kekekk,1,0,0.0,990
kenN2439,1,0,0.0,990
kkkk,1,0,0.0,990
lupodevelop,1,0,0.0,990
malone001,1,0,0.0,990
mhi,1,0,0.0,990
mintBomber,1,0,0.0,990
mw,1,0,0.0,990
nya,1,0,0.0,990
otani_ai_memo,1,0,0.0,990
paraina,1,0,0.0,990
patamaru,1,0,0.0,990
pes_magic,1,0,0.0,990
pino 70122,1,0,0.0,990
piska,1,0,0.0,990
sea8gull,1,0,0.0,990
smithhoo,1,0,0.0,990
teetru,1,0,0.0,990
trail,1,0,0.0,990
tsu_22_1,1,0,0.0,990
twakaiki,1,0,0.0,990
ulaph4,1,0,0.0,990
very kaggle,1,0,0.0,990
wingsyuyi-satori,1,0,0.0,990
xloudmax,1,0,0.0,990
yamamekko,1,0,0.0,990
yaphanqiii,1,0,0.0,990
yayoi111,1,0,0.0,990
zk,1,0,0.0,990
あなまか,1,0,0.0,990
たかゆき,1,0,0.0,990
どんぐりん,1,0,0.0,990
チャーハン,1,0,0.0,990
ユウカ,1,0,0.0,990
bigdan7,5,2,0.4,989
digimagi,6,2,0.3333333333333333,989
hamuhei,6,2,0.3333333333333333,989
miraiTDL,3,1,0.3333333333333333,989
Xander,7,2,0.2857142857142857,989
5.5,1,0,0.0,989
Akito Maruo,1,0,0.0,989
Alejandro Espinoza,1,0,0.0,989
Amon Suzuki,1,0,0.0,989
Benjp8,1,0,0.0,989
BullFloG,1,0,0.0,989
Chipping Spearow,1,0,0.0,989
DaJimmy,1,0,0.0,989
Dennis Tran,1,0,0.0,989
Do Hyun Nam,1,0,0.0,989
Eesh saxena,1,0,0.0,989
Emanuel Lázaro,1,0,0.0,989
Evily Evihut,1,0,0.0,989
Filip Strzałka,1,0,0.0,989
Forrest,1,0,0.0,989
Gyan Melior,1,0,0.0,989
H. Ashida,1,0,0.0,989
Harusayshi,1,0,0.0,989
Iadh Jarray,1,0,0.0,989
JackChenghao,1,0,0.0,989
Jane Long,1,0,0.0,989
Jiachen Li,1,0,0.0,989
Kagura_UT,1,0,0.0,989
Kerem çelik,1,0,0.0,989
Kiryu Mochizuki,1,0,0.0,989
Kohei #2,1,0,0.0,989
Kunal Desale,1,0,0.0,989
Larpmaxxing,1,0,0.0,989
Mactorr,1,0,0.0,989
Nene Gotanda,1,0,0.0,989
Niche,1,0,0.0,989
NinjaAviral,1,0,0.0,989
Oniku,1,0,0.0,989
Rahul Rathnavel K,1,0,0.0,989
Rare Candy Lab 🍬,1,0,0.0,989
Raymond Guo,1,0,0.0,989
RedBaseline,1,0,0.0,989
Reilly Cooper,1,0,0.0,989
TA,1,0,0.0,989
Takuma Sakamoto,1,0,0.0,989
TomoyaM,1,0,0.0,989
Too Young Too simple,1,0,0.0,989
Toshiko Miyake,1,0,0.0,989
Vupeen Thapa magar,1,0,0.0,989
William_Rod,1,0,0.0,989
Yser,1,0,0.0,989
Yuki_h,1,0,0.0,989
Yuta Tadokoro,1,0,0.0,989
aurax7,1,0,0.0,989
chunyu,1,0,0.0,989
czechmix,1,0,0.0,989
dmiyabe,1,0,0.0,989
gonbe,1,0,0.0,989
ibyyue,1,0,0.0,989
ima_AI123,1,0,0.0,989
inu1234567,1,0,0.0,989
jaehwan02,1,0,0.0,989
keiz,1,0,0.0,989
kmiya61212,1,0,0.0,989
knshnb,1,0,0.0,989
koppen9029,1,0,0.0,989
lilylily26,1,0,0.0,989
mashirome,1,0,0.0,989
match051,1,0,0.0,989
moohsin,1,0,0.0,989
pingtian,1,0,0.0,989
sea_mountain,1,0,0.0,989
tsuzuk1,1,0,0.0,989
yt0914,1,0,0.0,989
あれすくん,1,0,0.0,989
ごんさくよねきち,1,0,0.0,989
ストール,1,0,0.0,989
Zhenyu Zhang,7,2,0.2857142857142857,988
matcha110,4,1,0.25,988
s_a_ai_enginner,4,1,0.25,988
Akhyar Safrudin,1,0,0.0,988
AkiraIshikawa,1,0,0.0,988
Alexandru Tanasel,2,0,0.0,988
Alvin_Lee,1,0,0.0,988
CYLik,1,0,0.0,988
Got That Weedle?,1,0,0.0,988
HechtJP,1,0,0.0,988
I4Kaggle,1,0,0.0,988
Itoochu,1,0,0.0,988
JmpM,1,0,0.0,988
Kanata Iriyama,1,0,0.0,988
Kento Umeda,1,0,0.0,988
KuroNeko_Game_Club,1,0,0.0,988
Masashi Oohira,1,0,0.0,988
Mooreom Wang,1,0,0.0,988
Nur Srijan,1,0,0.0,988
Rauru Okitani,1,0,0.0,988
Scott G,1,0,0.0,988
Semyon Epanov,1,0,0.0,988
Sorachi KATAYAMA,1,0,0.0,988
Steven66886688,1,0,0.0,988
Sugiyama Tomoki,1,0,0.0,988
Sule-it,1,0,0.0,988
Thomas Vu,1,0,0.0,988
Vu,1,0,0.0,988
YuhiVT,1,0,0.0,988
\bleel00,1,0,0.0,988
bin luo1,1,0,0.0,988
czhhhhh,1,0,0.0,988
ebisu_ya,1,0,0.0,988
fujihara,1,0,0.0,988
hexisteme,1,0,0.0,988
ichigotosakura,1,0,0.0,988
iwatsushi,1,0,0.0,988
junfan shen,1,0,0.0,988
kosei1701,1,0,0.0,988
koumiyata,1,0,0.0,988
lalalasu,1,0,0.0,988
morux2,1,0,0.0,988
nakano_kano_shimai,1,0,0.0,988
passion,1,0,0.0,988
quantcrypto3,1,0,0.0,988
rs517,1,0,0.0,988
setsuhei,1,0,0.0,988
table spoonful,1,0,0.0,988
thisray,1,0,0.0,988
thyme20010113,1,0,0.0,988
trickstar,2,0,0.0,988
yomogii,1,0,0.0,988
増殖するG,1,0,0.0,988
江东,1,0,0.0,988
渡邊征央,1,0,0.0,988
野原拓也,1,0,0.0,988
서재원,1,0,0.0,988
tamakiken_OB,7,2,0.2857142857142857,987
kaggle_bbgg,4,1,0.25,987
ASH,2,0,0.0,987
Genocide Hashimoto,1,0,0.0,987
Kisan Al Gaib,1,0,0.0,987
Kosuke Izumi,1,0,0.0,987
Matthew Huang,1,0,0.0,987
PRINCE KUMAR YADAV,1,0,0.0,987
Remielle,1,0,0.0,987
Samsay24,2,0,0.0,987
Suchai,1,0,0.0,987
The Weeknd,1,0,0.0,987
Timmy Juicehouse,1,0,0.0,987
Yang Jinneng,1,0,0.0,987
Yizhi,1,0,0.0,987
Yuki Ikeda,1,0,0.0,987
quezalt,1,0,0.0,987
vvhan,8,3,0.375,986
Banger_,1,0,0.0,986
Charles Wallis,1,0,0.0,986
KiChang.Kim,2,0,0.0,986
LiFeng Wen,1,0,0.0,986
Raihan Ramadistra,2,0,0.0,986
shibachan,1,0,0.0,986
原田龍馬,2,0,0.0,986
Manato TAKAI,4,1,0.25,985
DHKim0324,2,0,0.0,985
Lester Leong,2,0,0.0,985
Ryo Ochi,2,0,0.0,985
Sholto Armstrong,2,0,0.0,985
Troy_xx,2,0,0.0,985
YaYu,2,0,0.0,985
aramaa_game,2,0,0.0,985
pokabu1104,1,0,0.0,985
cocosu3434,13,5,0.38461538461538464,984
kenkoooo,12,4,0.3333333333333333,984
tokk,9,3,0.3333333333333333,984
Ken_Ken_Pa,7,2,0.2857142857142857,984
Legend Brothers,4,1,0.25,984
Abdul Rauf,2,0,0.0,984
Abhyuday,2,0,0.0,984
Akasamai,2,0,0.0,984
Cesar Augusto Sibila,2,0,0.0,984
Challengestone,2,0,0.0,984
FirstSS-Sub,2,0,0.0,984
H & Z,2,0,0.0,984
HughTCG,2,0,0.0,984
Kamal Das,2,0,0.0,984
PiotrKley,2,0,0.0,984
Syuta,2,0,0.0,984
T.Kawahara,2,0,0.0,984
Tardigrades,2,0,0.0,984
Yamin Hossain,2,0,0.0,984
david valor,2,0,0.0,984
mewworldorder,2,0,0.0,984
monaou,2,0,0.0,984
qwertykeypadapple,2,0,0.0,984
teem,2,0,0.0,984
v0m0v,2,0,0.0,984
Rory Neville,5,1,0.2,983
Angus Chang,2,0,0.0,983
Joseph Adamski,2,0,0.0,983
LowEffort,2,0,0.0,983
MMA,2,0,0.0,983
Nicolas Gomasjaya,2,0,0.0,983
StackKnight,2,0,0.0,983
Ville,2,0,0.0,983
Voyager,2,0,0.0,983
miruto,2,0,0.0,983
namopanda,2,0,0.0,983
yoshimasak,2,0,0.0,983
yuyutech(Genuine),2,0,0.0,983
POPCORN,7,2,0.2857142857142857,982
OverfitOracle,5,1,0.2,982
AndyLiuHz,2,0,0.0,982
David Tan,2,0,0.0,982
FMBRO,2,0,0.0,982
Gotem Penguin,2,0,0.0,982
Ketchum Alt,2,0,0.0,982
Mega LayerEX,2,0,0.0,982
NSTS04,2,0,0.0,982
Pilkwang Kim,2,0,0.0,982
ShoheiSaito,2,0,0.0,982
Soruton,2,0,0.0,982
Stepan Antonov,2,0,0.0,982
VSKi Li,2,0,0.0,982
Yaro Perventsev,2,0,0.0,982
Yousef Turk,2,0,0.0,982
beeyan,2,0,0.0,982
yuya,2,0,0.0,982
Souya__1234,34,11,0.3235294117647059,981
Arthurs Torres24,5,1,0.2,981
DON,5,1,0.2,981
Akio Furutsuka,2,0,0.0,981
Aphrodite,2,0,0.0,981
Arda Karakaş,2,0,0.0,981
Gogona557,2,0,0.0,981
Hiro Nomo,2,0,0.0,981
KouFu,2,0,0.0,981
MCH,2,0,0.0,981
NaNomin,2,0,0.0,981
Reyhan Ksatria,2,0,0.0,981
Rushil Ramachandran,2,0,0.0,981
Tatsuya Goto,2,0,0.0,981
Yuki Mizutani,2,0,0.0,981
banana,2,0,0.0,981
baudo828,2,0,0.0,981
machapin,2,0,0.0,981
mtskggle,2,0,0.0,981
xthixsl_ml,2,0,0.0,981
カドラバ Kadoraba,2,0,0.0,981
水間,2,0,0.0,981
Dũng Đỗ,21,7,0.3333333333333333,980
blueshine,5,1,0.2,980
kokinnwakashuu,5,1,0.2,980
Benjamin Zhao3927,2,0,0.0,980
Capitaalgain,2,0,0.0,980
Changyuan Chen,2,0,0.0,980
Star-mine,2,0,0.0,980
fsun,2,0,0.0,980
sadwat,2,0,0.0,980
soraemon,2,0,0.0,980
xue1213,2,0,0.0,980
ykhnkf,3,0,0.0,980
Eggplanck,7,2,0.2857142857142857,979
pokeca2018,4,1,0.25,979
Hotaru dango,5,1,0.2,979
AI部,2,0,0.0,979
Carlos David Andrade,2,0,0.0,979
Kyohei,2,0,0.0,979
Lucas Henrique Mateo,2,0,0.0,979
NimaPoke,2,0,0.0,979
PokeMasters,2,0,0.0,979
YutoRagi,2,0,0.0,979
青学技術開発チーム,2,0,0.0,979
matsurih,132,57,0.4318181818181818,978
Terutora Tachibana,5,1,0.2,978
Brian Naff,2,0,0.0,978
Dylan Dove,2,0,0.0,978
momoon,2,0,0.0,978
Unreal Drip,5,1,0.2,977
venks,5,1,0.2,977
Eric Keller,2,0,0.0,977
Lukas Ogiermann,2,0,0.0,977
YehJames,3,0,0.0,977
Andreas Palmgren,26,10,0.38461538461538464,976
mitomeat823,15,5,0.3333333333333333,976
d b,8,2,0.25,976
sereinless,5,1,0.2,976
Boseiju,3,0,0.0,976
Gronk,2,0,0.0,976
HongXin Su,3,0,0.0,976
Larps,2,0,0.0,976
PRASHANT SHUKLA91,3,0,0.0,976
Pillip Youn,3,0,0.0,976
Vermillion City Trainer,3,0,0.0,976
shuheitagawa,3,0,0.0,976
moya,10,3,0.3,975
チーム運河,10,3,0.3,975
Mando,5,1,0.2,975
MarineYY,3,0,0.0,975
ZZDirty,3,0,0.0,975
neuro168,3,0,0.0,975
河村直樹,3,0,0.0,975
Dragon Ball Z,15,5,0.3333333333333333,974
tonakaiiii,9,2,0.2222222222222222,974
Misaka Mikoto,3,0,0.0,974
jeruman,3,0,0.0,974
ocotopus,3,0,0.0,974
suk1yak1,3,0,0.0,974
takaygiiiiiiii,3,0,0.0,974
Kohecchi,18,6,0.3333333333333333,973
researcher_4242,6,1,0.16666666666666666,973
Tanupro,27,10,0.37037037037037035,972
nasuo445,12,4,0.3333333333333333,972
Haokai Ding,3,0,0.0,972
Hiroki Yamazaki,3,0,0.0,972
ShumpeiNomura,4,0,0.0,972
magu1234,3,0,0.0,972
puraza,3,0,0.0,972
李秉叡（ntumlnoob）,29,11,0.3793103448275862,971
Tony Li,16,5,0.3125,971
yaki-imo,6,1,0.16666666666666666,970
(ノ◡ <),4,0,0.0,970
btk15049,121,58,0.4793388429752066,969
Yudai Ueno,118,55,0.4661016949152542,969
wally0593,16,5,0.3125,969
Heitor Westphal,3,0,0.0,969
Julian,24,8,0.3333333333333333,968
seven,10,2,0.2,968
Banjo,4,0,0.0,968
Shelgon,4,0,0.0,968
otashue,3,0,0.0,968
今井大登,14,4,0.2857142857142857,967
【ＡＩと共に、ＡＩと戦う】tubotu,15,4,0.26666666666666666,967
amaotone,109,48,0.44036697247706424,966
浅井翔,7,1,0.14285714285714285,966
Melvin Low,4,0,0.0,966
mutualns,4,0,0.0,966
ojicat,4,0,0.0,966
于笑非lilishyxf,7,1,0.14285714285714285,965
kazusw,4,0,0.0,965
tadhase,4,0,0.0,965
Meghana284,14,4,0.2857142857142857,964
Aikimi,9,2,0.2222222222222222,964
Chong Pfeffer,10,2,0.2,964
nishikawa,4,0,0.0,964
Asa-sotta ,7,1,0.14285714285714285,963
L-WALID,4,0,0.0,963
Octavi Grau,4,0,0.0,963
ヌメルゴンex,4,0,0.0,963
masspeaks,47,16,0.3404255319148936,962
yuki0202,9,2,0.2222222222222222,962
tennogh,12,3,0.25,961
fishcat,9,2,0.2222222222222222,961
AdrianWang2003,11,2,0.18181818181818182,961
Yufeng,4,0,0.0,961
Pascal Pfeiffer,6,1,0.16666666666666666,960
Flying Banana,4,0,0.0,960
Jack,29,8,0.27586206896551724,959
HIDEYO CHIBA,7,1,0.14285714285714285,959
Jeffrey Saelee,6,1,0.16666666666666666,958
less,20,6,0.3,956
Cabrera Consulting Group,5,0,0.0,956
Mikael Marcondes,22,7,0.3181818181818182,955
Larry,8,1,0.125,955
SORA,5,0,0.0,955
shiratama,15,4,0.26666666666666666,954
Peng Wang,10,2,0.2,954
Kazama Yusuke,11,2,0.18181818181818182,954
Canon,19,5,0.2631578947368421,953
Rockway Chen,7,1,0.14285714285714285,953
Zachary Zhang,9,1,0.1111111111111111,953
Yukhoe,5,0,0.0,953
Www,5,0,0.0,952
takumina,6,0,0.0,952
鸽鸽257,5,0,0.0,952
payanotty,6,0,0.0,951
akmr,16,4,0.25,950
Akira-Ninth,6,0,0.0,950
hinox13,10,2,0.2,949
hatry,11,2,0.18181818181818182,949
palsystem,11,2,0.18181818181818182,949
Takuya Ando,5,0,0.0,949
YuPengCao,19,5,0.2631578947368421,948
Erik van de Ven,15,3,0.2,948
base_camp_2002,8,1,0.125,947
懒惰的金枪鱼,22,6,0.2727272727272727,944
kuromoka,15,3,0.2,944
Unicorn,6,0,0.0,944
aaa,33,9,0.2727272727272727,942
nakkan_AI,11,2,0.18181818181818182,941
htehte,10,1,0.1,941
trainer-1,20,5,0.25,940
Gyoukou,19,4,0.21052631578947367,937
Boss's Orders Are All You Need,7,0,0.0,934
haruto,7,0,0.0,932
WinDecks,11,1,0.09090909090909091,930
zhangshuosc,16,3,0.1875,918
SebaMG,10,0,0.0,917
yumizu,10,0,0.0,913
